30636bb0-12f1-11f0-9250-0050564c5b43,Zugtruppkraftwagen,ELW,09-19-5,BS FW 3165,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/30636bb0-12f1-11f0-9250-0050564c5b43_1763045277633.png,1,1,1,0,0,0,0,0,0,0,0,1,0
30637292-12f1-11f0-9250-0050564c5b43,Hilfeleistungslöschgruppenfahrzeug 10,HLF10,09-46-56,BS FW 3813,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/30637292-12f1-11f0-9250-0050564c5b43_1763045252493.png,1,1,1,1,1,1,1,1,1,1,1,1,1
3063750b-12f1-11f0-9250-0050564c5b43,Löschgruppenfahrzeug Katastrophenschutz,LF-KatS,80-44-01,BS KS 8502,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/3063750b-12f1-11f0-9250-0050564c5b43_1763045264635.png,1,1,1,1,1,1,1,1,1,1,1,1,1
3063752d-12f1-11f0-9250-0050564c5b43,Wechselladerfahrzeug,WLF,09-65-56,BS FW 3114,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/3063752d-12f1-11f0-9250-0050564c5b43_1763045332328.png,1,1,1,1,1,1,1,1,1,1,1,1,1
30637587-12f1-11f0-9250-0050564c5b43,Wechselladerfahrzeug mit Kran,WLFK,09-67-56,BS 2116,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/30637587-12f1-11f0-9250-0050564c5b43_1763057235974.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
306375dc-12f1-11f0-9250-0050564c5b43,Gerätewagen Logistik 1,GW-L1,09-64-56,BS 2892,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/306375dc-12f1-11f0-9250-0050564c5b43_1763045342841.png,1,1,1,1,1,1,1,1,1,1,1,1,1
3063762f-12f1-11f0-9250-0050564c5b43,Mannschaftstransportfahrzeug,MTF,4-17-01,,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/3063762f-12f1-11f0-9250-0050564c5b43_1763057250890.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1
6c687802-1486-11f0-9250-0050564c5b43,Abrollbehälter DEKON-V,AB-DEKON-V,AB-DEKON-V,,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/6c687802-1486-11f0-9250-0050564c5b43_1763068763053.png,0,1,1,1,1,1,1,1,1,1,1,1,1
6c6bc143-1486-11f0-9250-0050564c5b43,Abrollbehälter HFS,AB-HFS,AB-HFS,,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/6c6bc143-1486-11f0-9250-0050564c5b43_1763046601386.png,0,1,1,1,1,1,1,1,1,1,1,1,1
6c6e77eb-1486-11f0-9250-0050564c5b43,Abrollbehälter Mulde #1,AB-MULDE-1,AB-MULDE-1,,,0,1,1,1,1,1,1,1,1,1,1,1,1
6c71421a-1486-11f0-9250-0050564c5b43,Abrollbehälter Personal,AB-PERSONAL,AB-PERSONAL,,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/6c71421a-1486-11f0-9250-0050564c5b43_1763062397674.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1
6c74291e-1486-11f0-9250-0050564c5b43,Abrollbehälter Schlauch 2000,AB-SCHLAUCH,AB-SCHLAUCH,,https://fnzlagbqsn0hqj2k.public.blob.vercel-storage.com/vehicles/6c74291e-1486-11f0-9250-0050564c5b43_1775238258793.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1
