010e253a-0be3-11f0-9250-0050564c5b43,Verbandführer,VF,leadership,,VF
4d1593a6-32a2-11f0-a302-0050564c5b43,Erweitertes Führungszeugnis,FÜZEU,jf,,
6ca36e9f-b1c4-11ef-b620-0242ac110002,ABC-Einsatz Teil 1,ABC1,technical,,
6ca43f84-b1c4-11ef-b620-0242ac110002,Gruppenführer Teil 1,GF1,leadership,,
6ca6a4d8-b1c4-11ef-b620-0242ac110002,Erste Hilfe,EH,technical,,
6ca7e067-b1c4-11ef-b620-0242ac110002,Atemschutzgeräteträger,AGT,technical,red,AGT
6ca9021d-b1c4-11ef-b620-0242ac110002,Truppmannausbildung Teil 2,TM2,crew,,
6caa8267-b1c4-11ef-b620-0242ac110002,Sprechfunker,FU,technical,,
6cac2e12-b1c4-11ef-b620-0242ac110002,Gruppenführer Teil 2,GF2,leadership,,GF
6cad47b9-b1c4-11ef-b620-0242ac110002,Zugführer Teil 2,ZF2,leadership,,ZF
6caeadd9-b1c4-11ef-b620-0242ac110002,Feldkoch,FK,,,
6cb0cd30-b1c4-11ef-b620-0242ac110002,Atemschutzgeräteträger - Vorcheck,AGT-Check,crew,,
6cb24b8e-b1c4-11ef-b620-0242ac110002,Klasse C,KL-C,driving,blue,C
6cb33f49-b1c4-11ef-b620-0242ac110002,Truppführer,TF,crew,,TF
6cb486c8-b1c4-11ef-b620-0242ac110002,Zugführer Teil 1,ZF1,leadership,,
6cb5eb2e-b1c4-11ef-b620-0242ac110002,Technische Hilfeleistung,TH,technical,,TH
6cb75062-b1c4-11ef-b620-0242ac110002,Jugendgruppenleiter,JFGL,jf,,
6cb8662d-b1c4-11ef-b620-0242ac110002,Maschinist,MA,technical,,MA
6cb9eaba-b1c4-11ef-b620-0242ac110002,Truppmannausbildung Teil 1,TM1,crew,,TM
81b428dd-0b00-11f0-9250-0050564c5b43,Einsatz unter Atemschutz,AGT-Einsatz,crew,,AGT_Einsatz
81bb552f-0b00-11f0-9250-0050564c5b43,Unterweisung Atemschutz,AGT-UW,crew,,AGT_Unterweisung
81c11937-0b00-11f0-9250-0050564c5b43,jährliche Einsatzübung Atemschutz,AGT-Übung,crew,,AGT_Übung
81c68f7d-0b00-11f0-9250-0050564c5b43,jährliche Atemschutzübung (CSA),AGT-CSA-Übung,crew,,
81cbff32-0b00-11f0-9250-0050564c5b43,jährliche Belastungsübung (AS-ÜS),AGT-Strecke,crew,,AGT_Strecke
896a89a8-98d9-11f0-818f-0050564c5b43,Führerschein Klasse B,KL-B,driving,,
aaaf8d2f-98d9-11f0-818f-0050564c5b43,Führerschein Klasse BE,KL-BE,driving,,
b3d855bf-0bc5-11f0-9250-0050564c5b43,Kettensäge Modul A,KS,crew,,KS
d5f7e46b-bd94-11f0-be7f-0050564c5b43,Kettensäge Modul B,KS-B,technical,,
df1ea7fd-c400-11f0-8ce9-0050564c5b43,Einweisung Kran,KRAN,driving,,
e4c9ae9c-0aff-11f0-9250-0050564c5b43,Atemschutztauglichkeit G26.3,G26.3,crew,,G26_3
e9c2c06e-0bfb-11f0-9250-0050564c5b43,Rettungssanitäter,RettSann,crew,,
